12 35
AAAAA BBBBB CCCCC DDDDD EEEEE FFFFF GGGGG HHHHH IIIII JJJJJ KKKKK LLLLL
DDDDD KKKKK
DDDDD LLLLL
GGGGG LLLLL
HHHHH JJJJJ
DDDDD JJJJJ
BBBBB LLLLL
DDDDD GGGGG
JJJJJ LLLLL
DDDDD EEEEE
JJJJJ KKKKK
HHHHH LLLLL
GGGGG HHHHH
HHHHH KKKKK
BBBBB IIIII
GGGGG KKKKK
HHHHH IIIII
EEEEE KKKKK
CCCCC HHHHH
EEEEE HHHHH
BBBBB HHHHH
BBBBB FFFFF
BBBBB EEEEE
BBBBB GGGGG
CCCCC KKKKK
GGGGG JJJJJ
BBBBB KKKKK
CCCCC JJJJJ
DDDDD HHHHH
BBBBB JJJJJ
AAAAA BBBBB
DDDDD FFFFF
AAAAA GGGGG
IIIII KKKKK
EEEEE GGGGG
AAAAA DDDDD

1
